consultancy_name,state,area_district,students_applied,successful_applications,consultancy_fee_inr,commission_fee_inr,total_fee_inr,rating,reviews,primary_country,us_applications_pct,uk_applications_pct,germany_applications_pct
Summit Experts,Arunachal Pradesh,Itanagar,822,575,34000,1700,35700,3.1,2723,UK,21,64,15
Path Group,Punjab,Bathinda,397,265,32000,1600,33600,4.3,4129,US,49,10,41
Elite Pathways,Uttarakhand,Haldwani,1728,1190,60000,3000,63000,3.2,1255,Germany,39,13,48
Pioneer Consultants,Uttarakhand,Rishikesh,3588,2990,37000,1850,38850,4.7,1205,Germany,21,24,55
Path Ventures,West Bengal,Siliguri,2656,1847,46000,2300,48300,3.3,1592,UK,40,47,13
Edu Ventures,Mizoram,Aizawl,938,838,75000,3750,78750,3.8,4390,Germany,6,16,78
Vision Advisors,Goa,Margao,3349,3022,65000,3250,68250,4.9,2031,UK,33,54,13
Vision Solutions Global,Mizoram,Lunglei,826,636,33000,1650,34650,4.8,2304,Germany,16,12,72
Global Solutions,Himachal Pradesh,Dharamshala,663,428,28000,1400,29400,4.8,2875,US,74,12,14
Premier Guidance,Himachal Pradesh,Manali,4364,4093,75000,3750,78750,4.7,562,UK,32,56,12
Pinnacle Mentors India,West Bengal,Darjeeling,2286,2045,26000,1300,27300,4.2,4459,Germany,12,14,74
Overseas Guidance,Odisha,Berhampur,2920,1997,43000,2150,45150,4.9,1945,US,78,10,12
Summit Guidance,Kerala,Thrissur,2064,1742,69000,3450,72450,3.6,4779,UK,26,61,13
Overseas Mentors,Punjab,Ludhiana,3133,2363,19000,950,19950,4.2,560,Germany,13,7,80
Future Services,Haryana,Hisar,1493,978,52000,2600,54600,3.2,1847,US,59,27,14
Future Guidance,Delhi,Rohini,203,126,74000,3700,77700,4.1,3555,UK,41,48,11
Overseas Ventures,Punjab,Bathinda,1789,1215,12000,600,12600,3.2,3749,Germany,19,5,76
Apex Ventures,Telangana,Karimnagar,1511,1235,38000,1900,39900,4.7,4591,US,54,17,29
Overseas Ventures,Goa,Margao,4663,3958,22000,1100,23100,3.5,1997,US,74,8,18
Summit Solutions,Odisha,Cuttack,1750,1479,16000,800,16800,4,238,US,45,26,29
Apex Pathways International,Sikkim,Namchi,4508,3789,21000,1050,22050,3.5,1533,UK,36,52,12
Path Guidance,Uttarakhand,Dehradun,3358,3042,23000,1150,24150,3.3,3229,UK,35,57,8
Premier Education,Sikkim,Namchi,3446,3060,62000,3100,65100,3.8,1977,UK,28,54,18
Vision Group,West Bengal,Howrah,3696,2757,39000,1950,40950,4.1,1584,US,74,10,16
Study Group,Kerala,Thiruvananthapuram,4403,3342,52000,2600,54600,3.7,2380,US,59,26,15
Vision Pathways,Punjab,Ludhiana,3505,2262,66000,3300,69300,3.2,3328,US,75,8,17
Horizon Guidance,Assam,Dibrugarh,2707,2051,69000,3450,72450,3.2,2225,UK,15,68,17
Horizon Solutions,Jammu and Kashmir,Anantnag,1774,1192,51000,2550,53550,4.7,2732,US,56,8,36
Path Ventures,Madhya Pradesh,Ujjain,2184,1619,63000,3150,66150,4.4,229,US,47,30,23
Study Guidance,Assam,Dibrugarh,4242,3305,63000,3150,66150,3.2,1864,Germany,11,19,70
Pinnacle Services India,Telangana,Warangal,634,456,70000,3500,73500,3.7,2722,UK,27,56,17
Premier Solutions,Odisha,Sambalpur,4410,4037,55000,2750,57750,4,2433,US,53,19,28
Gateway Advisors International,Haryana,Ambala,510,315,53000,2650,55650,4.8,2252,US,76,7,17
Study Services,Uttarakhand,Roorkee,3061,2056,55000,2750,57750,4,363,Germany,22,7,71
Edu Advisors,Telangana,Khammam,3308,2307,64000,3200,67200,3.6,4815,US,60,9,31
Apex Experts,Bihar,Gaya,1976,1611,68000,3400,71400,4.6,105,Germany,23,29,48
Premier Consultants,Tripura,Ambassa,4148,3133,24000,1200,25200,4.2,1887,US,77,17,6
Apex Consultants Network,West Bengal,Howrah,1482,1260,53000,2650,55650,4.9,1249,Germany,26,15,59
Pinnacle Guidance Network,West Bengal,Asansol,2547,2323,29000,1450,30450,5,1934,US,67,8,25
Pinnacle Experts,Mizoram,Kolasib,4155,3879,48000,2400,50400,3.9,3261,UK,34,59,7
Elite Consultants,Delhi,New Delhi,1705,1102,29000,1450,30450,4.7,2659,Germany,17,9,74
Horizon Consultants Network,Arunachal Pradesh,Bomdila,3603,2669,69000,3450,72450,3.4,1209,UK,9,77,14
Overseas Mentors,Delhi,New Delhi,4066,2707,44000,2200,46200,3,1527,Germany,13,10,77
Overseas Group,West Bengal,Darjeeling,3559,3013,72000,3600,75600,3.2,1942,US,79,7,14
Vision Mentors,Manipur,Ukhrul,3460,2435,17000,850,17850,3.6,2641,UK,11,57,32
Elite Guidance Network,Kerala,Kozhikode,4738,4101,42000,2100,44100,3.7,1591,UK,8,52,40
Future Advisors,Jharkhand,Dhanbad,3026,2598,42000,2100,44100,4.1,3063,UK,31,47,22
Premier Experts India,Uttarakhand,Roorkee,4753,3855,26000,1300,27300,3.6,2417,US,69,5,26
Study Consultants India,Andhra Pradesh,Nellore,151,130,51000,2550,53550,3.5,4704,Germany,42,10,48
Premier Ventures,Meghalaya,Williamnagar,4579,2751,29000,1450,30450,3.6,3966,UK,19,74,7
Edu Services,Jammu and Kashmir,Anantnag,1060,801,37000,1850,38850,3.4,2490,Germany,21,13,66
Elite Education,Kerala,Kozhikode,3297,2110,70000,3500,73500,4.3,2590,US,72,8,20
Global Advisors,Telangana,Karimnagar,3742,3193,14000,700,14700,3.2,2009,UK,10,52,38
Vision Services,Rajasthan,Udaipur,4365,3129,47000,2350,49350,5,55,Germany,6,48,46
Overseas Mentors,Madhya Pradesh,Bhopal,956,778,63000,3150,66150,3.5,2233,US,70,23,7
Summit Experts India,Karnataka,Belagavi,1512,1348,26000,1300,27300,4.2,2665,Germany,5,23,72
Summit Ventures,Sikkim,Gyalshing,832,655,63000,3150,66150,4.6,4475,US,72,22,6
Study Pathways Global,Karnataka,Hubballi,4460,3955,12000,600,12600,3.3,3446,US,77,5,18
Global Consultants Global,Kerala,Thiruvananthapuram,1043,808,65000,3250,68250,4.5,3727,UK,20,62,18
Pinnacle Mentors,Uttarakhand,Dehradun,1663,1239,18000,900,18900,3.2,3681,US,48,10,42
Edu Solutions Network,Uttar Pradesh,Lucknow,1240,1005,64000,3200,67200,4.4,4509,Germany,15,21,64
Premier Guidance International,Haryana,Faridabad,2561,1917,73000,3650,76650,3.4,267,US,63,31,6
Premier Group,Jammu and Kashmir,Anantnag,1416,856,75000,3750,78750,4.6,3728,UK,36,49,15
Gateway Education Network,Delhi,Rohini,253,158,13000,650,13650,3.1,2852,US,80,5,15
Overseas Consultants,Kerala,Thrissur,1156,1013,20000,1000,21000,3.9,4527,Germany,37,9,54
Premier Group,West Bengal,Darjeeling,3870,2519,51000,2550,53550,4.2,2591,US,71,22,7
Vision Services,West Bengal,Durgapur,2708,1705,35000,1750,36750,4.4,1779,Germany,23,14,63
Overseas Mentors,Odisha,Berhampur,4819,4527,11000,550,11550,4,4865,US,48,27,25
Overseas Pathways,Jharkhand,Jamshedpur,2284,1778,14000,700,14700,4.8,3752,US,70,23,7
Pioneer Education,Sikkim,Mangan,3191,2764,57000,2850,59850,3.3,3611,US,60,26,14
Pinnacle Education,Bihar,Patna,1464,1348,50000,2500,52500,4.8,583,US,64,11,25
Horizon Pathways India,Telangana,Khammam,1852,1137,23000,1150,24150,3.1,4567,US,53,25,22
Summit Experts,Andhra Pradesh,Tirupati,2869,1887,41000,2050,43050,4.9,2271,Germany,26,12,62
Summit Guidance,Goa,Vasco da Gama,1261,1053,43000,2150,45150,3.2,4916,US,56,37,7
Summit Consultants,West Bengal,Darjeeling,1192,960,70000,3500,73500,4,3419,US,74,19,7
Pioneer Advisors,Arunachal Pradesh,Tawang,3277,2233,38000,1900,39900,3.4,1638,Germany,19,19,62
Summit Mentors Global,West Bengal,Siliguri,4575,3477,45000,2250,47250,4.7,1865,US,72,17,11
Edu Guidance,Maharashtra,Mumbai,311,242,33000,1650,34650,4,2521,US,58,8,34
Global Mentors Network,Uttarakhand,Roorkee,4534,3047,59000,2950,61950,3.3,4419,US,67,9,24
Pinnacle Consultants,Manipur,Ukhrul,131,117,65000,3250,68250,3.4,1893,Germany,8,20,72
Premier Services Global,Andhra Pradesh,Tirupati,3972,3567,21000,1050,22050,3.2,3176,UK,23,48,29
