university_name,country,state,branch,intake,historical_acceptance_rate,tution_fee_in_usd
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Artificial Intelligence,Fall,0.9154929577464789,6026.366197183099
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Artificial Intelligence,Spring,0.9649122807017544,6112.736842105263
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Artificial Intelligence,Summer,0.9178082191780822,5760.0
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Civil Engineering,Fall,0.8444444444444444,5892.222222222223
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Civil Engineering,Spring,0.8032786885245902,5923.098360655737
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Civil Engineering,Summer,0.896551724137931,6015.982758620689
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Computer Science,Fall,0.9285714285714286,5920.547619047619
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Computer Science,Spring,0.9090909090909091,6017.927272727273
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Computer Science,Summer,0.8955223880597015,5847.671641791045
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Data Science,Fall,0.9090909090909091,5835.018181818182
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Data Science,Spring,0.9215686274509803,5751.529411764706
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Data Science,Summer,0.9361702127659575,5818.425531914893
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Electrical Engineering,Fall,0.9285714285714286,5843.839285714285
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Electrical Engineering,Spring,0.9,6240.1
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Electrical Engineering,Summer,0.9215686274509803,5842.705882352941
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Electronics and Communication,Fall,0.9215686274509803,5666.0
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Electronics and Communication,Spring,0.8333333333333334,5838.641025641025
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Electronics and Communication,Summer,0.8771929824561403,5573.7192982456145
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Information Technology,Fall,0.90625,5239.828125
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Information Technology,Spring,0.9016393442622951,5667.016393442623
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Information Technology,Summer,0.9344262295081968,5690.606557377049
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Mechanical Engineering,Fall,0.9,5784.62
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Mechanical Engineering,Spring,0.9074074074074074,5390.537037037037
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Mechanical Engineering,Summer,0.9180327868852459,5354.934426229508
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Software Engineering,Fall,0.9545454545454546,5892.924242424242
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Software Engineering,Spring,0.8536585365853658,5827.341463414634
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Saxony,Software Engineering,Summer,0.9333333333333333,5856.383333333333
Aberystwyth University,UK,Wales,Artificial Intelligence,Fall,0.9207920792079208,22670.237623762376
Aberystwyth University,UK,Wales,Artificial Intelligence,Spring,0.9045226130653267,22342.824120603014
Aberystwyth University,UK,Wales,Artificial Intelligence,Summer,0.9105263157894737,22582.563157894736
Aberystwyth University,UK,Wales,Civil Engineering,Fall,0.9075144508670521,22544.046242774566
Aberystwyth University,UK,Wales,Civil Engineering,Spring,0.8960396039603961,22578.361386138615
Aberystwyth University,UK,Wales,Civil Engineering,Summer,0.9444444444444444,22715.257575757576
Aberystwyth University,UK,Wales,Computer Science,Fall,0.8773584905660378,22900.028301886792
Aberystwyth University,UK,Wales,Computer Science,Spring,0.8924731182795699,22481.2688172043
Aberystwyth University,UK,Wales,Computer Science,Summer,0.8872549019607843,22671.352941176472
Aberystwyth University,UK,Wales,Data Science,Fall,0.905,22552.265
Aberystwyth University,UK,Wales,Data Science,Spring,0.9319371727748691,22678.37172774869
Aberystwyth University,UK,Wales,Data Science,Summer,0.8918918918918919,22628.524324324324
Aberystwyth University,UK,Wales,Electrical Engineering,Fall,0.8855721393034826,22745.238805970148
Aberystwyth University,UK,Wales,Electrical Engineering,Spring,0.8784530386740331,22720.07182320442
Aberystwyth University,UK,Wales,Electrical Engineering,Summer,0.9175824175824175,22827.615384615383
Aberystwyth University,UK,Wales,Electronics and Communication,Fall,0.91005291005291,22750.693121693123
Aberystwyth University,UK,Wales,Electronics and Communication,Spring,0.8770053475935828,22448.229946524065
Aberystwyth University,UK,Wales,Electronics and Communication,Summer,0.9378238341968912,22631.326424870465
Aberystwyth University,UK,Wales,Information Technology,Fall,0.882051282051282,22731.071794871794
Aberystwyth University,UK,Wales,Information Technology,Spring,0.896551724137931,22482.073891625616
Aberystwyth University,UK,Wales,Information Technology,Summer,0.8967391304347826,22706.358695652172
Aberystwyth University,UK,Wales,Mechanical Engineering,Fall,0.898989898989899,22478.828282828283
Aberystwyth University,UK,Wales,Mechanical Engineering,Spring,0.9009433962264151,22519.665094339623
Aberystwyth University,UK,Wales,Mechanical Engineering,Summer,0.8571428571428571,22543.566666666666
Aberystwyth University,UK,Wales,Software Engineering,Fall,0.9308510638297872,22647.33510638298
Aberystwyth University,UK,Wales,Software Engineering,Spring,0.9139784946236559,22623.494623655915
Aberystwyth University,UK,Wales,Software Engineering,Summer,0.8985507246376812,22692.61835748792
Akron University of Ohio,US,Ohio,Artificial Intelligence,Fall,0.6460674157303371,36931.76404494382
Akron University of Ohio,US,Ohio,Artificial Intelligence,Spring,0.7032258064516129,36733.58064516129
Akron University of Ohio,US,Ohio,Artificial Intelligence,Summer,0.6646706586826348,36658.10179640719
Akron University of Ohio,US,Ohio,Civil Engineering,Fall,0.6283783783783784,37089.52027027027
Akron University of Ohio,US,Ohio,Civil Engineering,Spring,0.6959459459459459,37274.2972972973
Akron University of Ohio,US,Ohio,Civil Engineering,Summer,0.7253521126760564,36909.2676056338
Akron University of Ohio,US,Ohio,Computer Science,Fall,0.6774193548387096,37269.709677419356
Akron University of Ohio,US,Ohio,Computer Science,Spring,0.7298850574712644,36809.51724137931
Akron University of Ohio,US,Ohio,Computer Science,Summer,0.6807228915662651,36999.072289156626
Akron University of Ohio,US,Ohio,Data Science,Fall,0.6453488372093024,37024.92441860465
Akron University of Ohio,US,Ohio,Data Science,Spring,0.7380952380952381,36975.27976190476
Akron University of Ohio,US,Ohio,Data Science,Summer,0.7094972067039106,36866.00558659218
Akron University of Ohio,US,Ohio,Electrical Engineering,Fall,0.6882352941176471,37126.08823529412
Akron University of Ohio,US,Ohio,Electrical Engineering,Spring,0.6346153846153846,36912.243589743586
Akron University of Ohio,US,Ohio,Electrical Engineering,Summer,0.7575757575757576,37314.024242424246
Akron University of Ohio,US,Ohio,Electronics and Communication,Fall,0.7675675675675676,37219.7027027027
Akron University of Ohio,US,Ohio,Electronics and Communication,Spring,0.6914893617021277,37204.67021276596
Akron University of Ohio,US,Ohio,Electronics and Communication,Summer,0.6428571428571429,36985.90476190476
Akron University of Ohio,US,Ohio,Information Technology,Fall,0.7278481012658228,37104.00632911392
Akron University of Ohio,US,Ohio,Information Technology,Spring,0.6666666666666666,37131.5730994152
Akron University of Ohio,US,Ohio,Information Technology,Summer,0.6627906976744186,37047.401162790695
Akron University of Ohio,US,Ohio,Mechanical Engineering,Fall,0.71875,36999.60625
Akron University of Ohio,US,Ohio,Mechanical Engineering,Spring,0.6688741721854304,37251.801324503314
Akron University of Ohio,US,Ohio,Mechanical Engineering,Summer,0.7239263803680982,37171.00613496933
Akron University of Ohio,US,Ohio,Software Engineering,Fall,0.6863905325443787,36995.89940828402
Akron University of Ohio,US,Ohio,Software Engineering,Spring,0.6325301204819277,36799.53614457831
Akron University of Ohio,US,Ohio,Software Engineering,Summer,0.6875,36986.825
Albany University of New York,US,New York,Artificial Intelligence,Fall,0.8601398601398601,22572.3006993007
Albany University of New York,US,New York,Artificial Intelligence,Spring,0.8873239436619719,21983.985915492958
Albany University of New York,US,New York,Artificial Intelligence,Summer,0.8957055214723927,22152.472392638036
Albany University of New York,US,New York,Civil Engineering,Fall,0.8909090909090909,22008.37575757576
Albany University of New York,US,New York,Civil Engineering,Spring,0.8702702702702703,22464.745945945946
Albany University of New York,US,New York,Civil Engineering,Summer,0.8846153846153846,22245.615384615383
Albany University of New York,US,New York,Computer Science,Fall,0.8693181818181818,22309.215909090908
Albany University of New York,US,New York,Computer Science,Spring,0.8268156424581006,22445.430167597766
Albany University of New York,US,New York,Computer Science,Summer,0.9205298013245033,22364.39072847682
Albany University of New York,US,New York,Data Science,Fall,0.8802395209580839,22224.36526946108
Albany University of New York,US,New York,Data Science,Spring,0.8536585365853658,22260.829268292684
Albany University of New York,US,New York,Data Science,Summer,0.8411764705882353,22489.11176470588
Albany University of New York,US,New York,Electrical Engineering,Fall,0.8698630136986302,22505.534246575342
Albany University of New York,US,New York,Electrical Engineering,Spring,0.8397435897435898,22153.48717948718
Albany University of New York,US,New York,Electrical Engineering,Summer,0.8860759493670886,22195.95569620253
Albany University of New York,US,New York,Electronics and Communication,Fall,0.8908045977011494,22304.344827586207
Albany University of New York,US,New York,Electronics and Communication,Spring,0.8505747126436781,22453.379310344826
Albany University of New York,US,New York,Electronics and Communication,Summer,0.9097222222222222,22265.631944444445
Albany University of New York,US,New York,Information Technology,Fall,0.8441558441558441,22249.948051948053
Albany University of New York,US,New York,Information Technology,Spring,0.8581081081081081,22242.344594594593
Albany University of New York,US,New York,Information Technology,Summer,0.8545454545454545,22269.60606060606
Albany University of New York,US,New York,Mechanical Engineering,Fall,0.8295454545454546,22177.454545454544
Albany University of New York,US,New York,Mechanical Engineering,Spring,0.9,22342.311764705883
Albany University of New York,US,New York,Mechanical Engineering,Summer,0.8589743589743589,22377.365384615383
Albany University of New York,US,New York,Software Engineering,Fall,0.8869047619047619,22424.255952380954
Albany University of New York,US,New York,Software Engineering,Spring,0.855072463768116,22412.485507246376
Albany University of New York,US,New York,Software Engineering,Summer,0.8625954198473282,22155.83969465649
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Artificial Intelligence,Fall,0.8846153846153846,9775.01923076923
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Artificial Intelligence,Spring,0.8955223880597015,9847.194029850747
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Artificial Intelligence,Summer,0.9,9846.25
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Civil Engineering,Fall,0.9811320754716981,9598.377358490567
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Civil Engineering,Spring,0.9491525423728814,9982.77966101695
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Civil Engineering,Summer,0.9365079365079365,9909.047619047618
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Computer Science,Fall,0.78,9956.8
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Computer Science,Spring,0.9253731343283582,9310.253731343284
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Computer Science,Summer,0.8909090909090909,9967.8
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Data Science,Fall,0.8857142857142857,10025.042857142857
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Data Science,Spring,0.82,9650.6
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Data Science,Summer,0.9827586206896551,9817.448275862069
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Electrical Engineering,Fall,0.8653846153846154,9770.115384615385
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Electrical Engineering,Spring,0.9433962264150944,9876.0
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Electrical Engineering,Summer,0.8142857142857143,10050.1
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Electronics and Communication,Fall,0.9310344827586207,9938.896551724138
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Electronics and Communication,Spring,0.8125,9896.770833333334
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Electronics and Communication,Summer,0.88,9551.8
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Information Technology,Fall,0.896551724137931,9835.448275862069
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Information Technology,Spring,0.9411764705882353,10010.411764705883
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Information Technology,Summer,0.9538461538461539,9769.646153846154
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Mechanical Engineering,Fall,0.8333333333333334,9886.833333333334
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Mechanical Engineering,Spring,0.9354838709677419,10144.741935483871
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Mechanical Engineering,Summer,0.9137931034482759,9846.137931034482
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Software Engineering,Fall,0.8360655737704918,9404.573770491803
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Software Engineering,Spring,0.9090909090909091,9831.145454545454
Albert-Ludwigs-Universität Freiburg,Germany,Bavaria,Software Engineering,Summer,0.8333333333333334,10119.227272727272
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Artificial Intelligence,Fall,0.9298245614035088,7503.245614035088
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Artificial Intelligence,Spring,0.896551724137931,7887.724137931034
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Artificial Intelligence,Summer,0.9574468085106383,7208.468085106383
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Civil Engineering,Fall,0.8787878787878788,7751.818181818182
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Civil Engineering,Spring,0.9393939393939394,7446.075757575758
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Civil Engineering,Summer,0.8666666666666667,7929.333333333333
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Computer Science,Fall,0.8727272727272727,7678.454545454545
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Computer Science,Spring,0.8771929824561403,7961.1578947368425
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Computer Science,Summer,0.8928571428571429,7405.553571428572
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Data Science,Fall,0.8688524590163934,7928.672131147541
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Data Science,Spring,0.8771929824561403,7728.561403508772
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Data Science,Summer,0.8909090909090909,7838.781818181818
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Electrical Engineering,Fall,0.8793103448275862,7311.189655172414
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Electrical Engineering,Spring,0.875,7623.541666666667
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Electrical Engineering,Summer,0.8923076923076924,7822.830769230769
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Electronics and Communication,Fall,0.8615384615384616,7576.953846153846
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Electronics and Communication,Spring,0.9038461538461539,7683.557692307692
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Electronics and Communication,Summer,0.8983050847457628,7280.372881355932
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Information Technology,Fall,0.8688524590163934,7515.573770491803
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Information Technology,Spring,0.9464285714285714,7558.392857142857
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Information Technology,Summer,0.8947368421052632,7462.543859649123
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Mechanical Engineering,Fall,0.90625,7928.734375
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Mechanical Engineering,Spring,0.9672131147540983,7023.0327868852455
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Mechanical Engineering,Summer,0.9692307692307692,7556.569230769231
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Software Engineering,Fall,0.8571428571428571,8115.809523809524
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Software Engineering,Spring,0.8666666666666667,7174.95
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Saxony,Software Engineering,Summer,0.9130434782608695,7819.521739130435
Allentown University of Pennsylvania,US,Pennsylvania,Artificial Intelligence,Fall,0.8627450980392157,26180.56862745098
Allentown University of Pennsylvania,US,Pennsylvania,Artificial Intelligence,Spring,0.861878453038674,25926.513812154695
Allentown University of Pennsylvania,US,Pennsylvania,Artificial Intelligence,Summer,0.8823529411764706,25913.464705882354
Allentown University of Pennsylvania,US,Pennsylvania,Civil Engineering,Fall,0.850828729281768,25935.093922651933
Allentown University of Pennsylvania,US,Pennsylvania,Civil Engineering,Spring,0.8770949720670391,25973.480446927373
Allentown University of Pennsylvania,US,Pennsylvania,Civil Engineering,Summer,0.8596491228070176,25549.099415204677
Allentown University of Pennsylvania,US,Pennsylvania,Computer Science,Fall,0.8606060606060606,25958.072727272727
Allentown University of Pennsylvania,US,Pennsylvania,Computer Science,Spring,0.91875,25683.61875
Allentown University of Pennsylvania,US,Pennsylvania,Computer Science,Summer,0.8930817610062893,26261.069182389936
Allentown University of Pennsylvania,US,Pennsylvania,Data Science,Fall,0.8571428571428571,25805.299319727892
Allentown University of Pennsylvania,US,Pennsylvania,Data Science,Spring,0.8741721854304636,25734.139072847684
Allentown University of Pennsylvania,US,Pennsylvania,Data Science,Summer,0.8924050632911392,25923.398734177215
Allentown University of Pennsylvania,US,Pennsylvania,Electrical Engineering,Fall,0.9153439153439153,26031.275132275132
Allentown University of Pennsylvania,US,Pennsylvania,Electrical Engineering,Spring,0.8156424581005587,25922.072625698325
Allentown University of Pennsylvania,US,Pennsylvania,Electrical Engineering,Summer,0.9209039548022598,25914.638418079096
Allentown University of Pennsylvania,US,Pennsylvania,Electronics and Communication,Fall,0.9019607843137255,25751.91503267974
Allentown University of Pennsylvania,US,Pennsylvania,Electronics and Communication,Spring,0.8709677419354839,25877.98064516129
Allentown University of Pennsylvania,US,Pennsylvania,Electronics and Communication,Summer,0.8769230769230769,25753.684615384616
Allentown University of Pennsylvania,US,Pennsylvania,Information Technology,Fall,0.891156462585034,25715.469387755104
Allentown University of Pennsylvania,US,Pennsylvania,Information Technology,Spring,0.8342857142857143,25924.405714285713
Allentown University of Pennsylvania,US,Pennsylvania,Information Technology,Summer,0.9364161849710982,25886.751445086706
Allentown University of Pennsylvania,US,Pennsylvania,Mechanical Engineering,Fall,0.8682634730538922,25828.041916167665
Allentown University of Pennsylvania,US,Pennsylvania,Mechanical Engineering,Spring,0.8457446808510638,25950.57978723404
Allentown University of Pennsylvania,US,Pennsylvania,Mechanical Engineering,Summer,0.8789808917197452,26027.369426751593
Allentown University of Pennsylvania,US,Pennsylvania,Software Engineering,Fall,0.8505747126436781,26161.120689655174
Allentown University of Pennsylvania,US,Pennsylvania,Software Engineering,Spring,0.8627450980392157,25784.398692810457
